シリーズ,変身後,変身前,声優,父親,母親,誕生日
2005,キュアブラック,美墨なぎさ,本名陽子,岳,理恵,10月10日
2005,キュアホワイト,雪城ほのか,ゆかな,太郎,雪城 文,4月4日
2005,シャイニールミナス,九条ひかり,田中理恵,,,9月9日
2006,キュアブルーム,日向 咲,樹元オリエ,大介,沙織,8月7日
2006,キュアイーグレット,美翔 舞,榎本温子,弘一郎,可南子,11月20日
2006,キュアブライト,日向 咲,樹元オリエ,大介,沙織,8月7日
2006,キュアウィンディ,美翔 舞,榎本温子,弘一郎,可南子,11月20日
2008,キュアドリーム,夢原のぞみ,三瓶由布子,勉,恵美,
2008,キュアルージュ,夏木りん,竹内順子,,和代,
2008,キュアレモネード,春日野うらら,伊瀬茉莉也,ミッシェル,まりあ,
2008,キュアミント,秋元こまち,永野 愛,,,
2008,キュアアクア,水無月かれん,前田 愛,,,
2008,ミルキィローズ,美々野くるみ,仙台エリ,,,
2009,キュアピーチ,桃園ラブ,沖 佳苗,圭太郎,あゆみ,
2009,キュアベリー,蒼乃美希,喜多村英梨,克彦,レミ,
2009,キュアパイン,山吹祈里,中川亜紀子,正,尚子,
2009,キュアパッション,東せつな,小松由佳,,,
2010,キュアブロッサム,花咲つぼみ,水樹奈々,陽一,みずき,
2010,キュアマリン,来海えりか,水沢史絵,流之助,さくら,
2010,キュアサンシャイン,明堂院いつき,桑島法子,,つばき,
2010,キュアムーンライト,月影ゆり,久川 綾,英明,春菜,
2011,キュアメロディ,北条 響,小清水亜美,団,まりあ,
2011,キュアリズム,南野 奏,折笠富美子,奏介,美空,
2011,キュアビート,黒川エレン,豊口めぐみ,,,
2011,キュアミューズ,調辺アコ,大久保瑠美,メフィスト,アフロディテ,
2012,キュアハッピー,星空みゆき,福圓美里,博司,育代,
2012,キュアサニー,日野あかね,田野アサミ,大悟,正子,
2012,キュアピース,黄瀬やよい,金元寿子,勇一,千春,
2012,キュアマーチ,緑川なお,井上麻里奈,源次,とも子,
2012,キュアビューティ,青木れいか,西村ちなみ,,静子,
2013,キュアハート,相田マナ,生天目仁美,健太郎,あゆみ,8月4日
2013,キュアダイヤモンド,菱川六花,寿 美菜子,悠蔵,亮子,9月17日
2013,キュアロゼッタ,四葉ありす,渕上 舞,星児,祥子,5月28日
2013,キュアソード,剣崎真琴,宮本佳那子,,,11月4日
2013,キュアエース,円 亜久里,釘宮理恵,,,
2014,キュアラブリー,愛乃めぐみ,中島 愛,勝,かおり,10月12日
2014,キュアプリンセス,白雪ひめ,潘 めぐみ,,,4月1日
2014,キュアハニー,大森ゆうこ,北川里奈,たけお,ようこ,8月2日
2014,キュアフォーチュン,氷川いおな,戸松 遥,,,10月7日
2015,キュアフローラ,春野はるか,嶋村 侑,いぶき,もえ,4月10日
2015,キュアマーメイド,海藤みなみ,浅野真澄,つかさ,ますみ,7月20日
2015,キュアトゥインクル,天ノ川きらら,山村 響,健,,9月12日
2015,キュアスカーレット,紅城トワ,沢城みゆき,,「ホープキングダム王妃」,12月15日
2016,キュアミラクル,朝日奈みらい,高橋李依,大吉,今日子,6月12日
2016,キュアマジカル,十六夜リコ,堀江由衣,リアン,リリア,11月12日
2016,キュアフェリーチェ,花海ことは,早見沙織,,,
2017,キュアホイップ,宇佐美いちか,美山加恋,源一郎,さとみ,1月7日
2017,キュアカスタード,有栖川ひまり,福原 遥,,,4月16日
2017,キュアジェラート,立神あおい,村中 知,雷桜,藍子,8月27日
2017,キュアマカロン,琴爪ゆかり,藤田 咲,,,6月11日
2017,キュアショコラ,剣城あきら,森 なな子,,,9月24日
2017,キュアパルフェ,キラ星シエル,水瀬いのり,,,7月30日
2018,キュアエール,野乃はな,引坂理絵,森太郎,すみれ,1月20日
2018,キュアアンジュ,薬師寺さあや,本泉莉奈,修司,れいら,6月10日
2018,キュアエトワール,輝木ほまれ,小倉 唯,,ちとせ,4月8日
2018,キュアマシェリ,愛崎えみる,田村奈央,俳吞,都,7月15日
2018,キュアアムール,ルールー・アムール,田村ゆかり,,,9月23日
2019,キュアスター,星奈ひかる,成瀬瑛美,陽一,輝美,4月12日
2019,キュアミルキー,羽衣ララ,小原好美,トト,カカ,7月7日
2019,キュアソレイユ,天宮えれな,安野希世乃,カルロス,かえで,9月8日
2019,キュアセレーネ,香久矢まどか,小松未可子,冬貴,満佳,11月23日
2019,キュアコスモ,ユニ,上坂すみれ,,,10月11日
2020,キュアグレース,花寺のどか,悠木 碧,たけし,やすこ,3月9日
2020,キュアフォンテーヌ,沢泉ちゆ,依田菜津,りゅうじ,なお,8月21日
2020,キュアスパークル,平光ひなた,河野ひより,てるひこ,,10月4日
2020,キュアアース,風鈴アスミ,三森すずこ,,,8月16日
2021,キュアサマー,夏海まなつ,ファイルーズあい,大洋,碧,8月1日
2021,キュアコーラル,涼村さんご,花守ゆみり,,みゆき,5月9日
2021,キュアパパイア,一之瀬みのり,石川由依,,なるみ,11月21日
2021,キュアフラミンゴ,滝沢あすか,瀬戸麻沙美,晴瑠也,,10月15日
2021,キュアラメール,ローラ・ラメール,日高里菜,,,6月30日
2022,キュアプレシャス,和実ゆい,菱川花菜,ひかる,あきほ,8月31日
2022,キュアスパイシー,芙羽ここね,清水理沙,しょうせい,はつこ,3月13日
2022,キュアヤムヤム,華満らん,井口裕香,こしのすけ,つるね,7月11日
2022,キュアフィナーレ,菓彩あまね,茅野愛衣,しゅういち,ぼたん,11月24日
2023,キュアスカイ,ソラ・ハレワタール,関根明良,シド,レミ,9月20日
2023,キュアプリズム,虹ヶ丘ましろ,加隈亜衣,あきら,まひる,7月16日
2023,キュアウィング,夕凪ツバサ,村瀬 歩,カケル,プワ,5月21日
2023,キュアバタフライ,聖あげは,七瀬彩夏,,,8月8日
2023,キュアマジェスティ,エル,古賀 葵,,,3月12日
2024,キュアワンダフル,犬飼こむぎ,長縄まりあ,,,5月13日
2024,キュアフレンディ,犬飼いろは,種﨑敦美,剛,陽子,8月7日
2024,キュアニャミー,猫屋敷ユキ,松田颯水,,,12月21日
2024,キュアリリアン,猫屋敷まゆ,上田麗奈,貴行,すみれ,11月5日
2025,キュアアイドル,咲良うた,松岡美里,和,音,3月27日
2025,キュアウインク,蒼風なな,髙橋ミナミ,一,睦美,7月6日
2025,キュアキュンキュン,紫雨こころ,高森奈津美,信二,愛,5月11日